Id,productor_id,codigo_sag_id,variedad_id,cuartel_id
1,4011,4011,8,4011
2,4011,4014,1,4012
3,4011,4016,7,4013
4,4011,4016,7,4014
5,4011,4015,1,4015
6,4011,4013,3,4016
7,4011,40110,7,4017
8,4011,40111,2,4018
9,4011,4014,1,4019
10,4011,4012,9,40110
11,4011,4016,7,40111
12,4011,40110,7,40112
13,4011,40112,4,40113
14,4011,4012,9,40114
15,4011,40110,7,40115
16,4011,4018,7,40116
17,4011,4012,9,40117
18,4011,4017,5,40118
19,4011,4017,5,40119
20,4011,4019,6,40120
21,4011,4019,6,40121
22,4022,40213,11,40222
23,4022,40213,11,40223
24,4022,40218,5,40224
25,4022,40220,13,40225
26,4022,40214,12,40226
27,4022,40214,12,40227
28,4022,40215,12,40228
29,4022,40215,12,40229
30,4022,40214,5,40230
31,4022,40216,10,40231
32,4022,40217,10,40232
33,4022,40221,1,40233
34,4022,40221,1,40234
35,4033,40322,7,40337
36,4033,40322,7,40338
37,4033,40324,8,40339
38,4033,40324,8,40340
39,4033,40324,8,40341
40,4033,40325,2,40342
41,4033,40323,7,40343
42,4033,40323,7,40344
43,4033,40323,7,40345
44,4033,40323,7,40348
45,4033,40328,6,40350
46,4033,40328,6,40351
47,4033,40325,2,40357
48,4033,40324,7,40358
49,4033,40325,2,40359
50,4033,40325,2,40360
51,4033,40330,13,40364
52,4033,40330,13,40365
53,4033,40331,14,40366
54,4033,40331,14,40367
55,4033,40327,11,40369
56,4033,40326,10,40372
57,4033,40326,10,40373
58,4044,40432,15,40474
59,4044,40432,15,40475
60,4044,40432,15,40476
61,4044,40432,15,40477
62,4044,40432,15,40478
63,4044,40434,16,40479
64,4044,40435,16,40480
65,4044,40434,16,40481
66,4044,40435,16,40482
67,4044,40432,15,40483
68,4044,40438,6,40484
69,4044,40433,15,40485
70,4044,40433,15,40486
71,4044,40433,15,40487
72,4044,40433,15,40488
73,4044,40440,8,40489
74,4044,40437,9,40490
75,4044,40437,9,40491
76,4044,40438,6,40492
77,4044,40438,6,40493
78,4044,40445,9,40494
79,4044,40439,9,40495
80,4044,40439,9,40496
81,4044,40443,8,40497
82,4044,40443,8,40498
83,4044,40443,8,40499
84,4044,40444,8,404100
85,4044,40444,8,404101
86,4044,40444,8,404102
87,4044,40436,10,404103
88,4044,40436,10,404104
89,4044,40436,10,404105
90,4044,40439,6,404106
91,4044,40439,6,404107
92,4044,40439,6,404108
93,4044,40441,6,404109
94,4044,40441,6,404110
95,4044,40441,6,404111
96,4044,40446,8,404112
97,4044,40446,8,404113
98,4044,40446,8,404114
99,4044,40442,6,404115
100,4044,40442,6,404116
101,4044,40442,6,404117
102,4044,40442,6,404118
103,4055,40547,2,405103
104,4055,40547,2,405104
105,4086,40849,6,408105
106,4086,40848,9,408106
107,4086,40848,9,408107
108,4086,40848,9,408108
109,4086,40850,6,408109
110,4086,40850,6,408110
111,4086,40851,6,408111
112,4086,40852,5,408112
113,4086,40852,5,408113
114,4086,40853,5,408114
115,4086,40853,5,408115
116,4086,40853,5,408116
117,4086,40854,5,408117
118,4086,40854,5,408118
119,4086,40854,5,408119
120,4086,40855,15,408120
121,4086,40855,15,408121
122,4086,40856,15,408122
123,4086,40856,15,408123
124,4086,40849,6,408124
125,4107,41057,6,410125
126,4107,41057,6,410126
127,4107,41058,6,410127
128,4107,41058,6,410128
129,4107,41059,6,410129
130,4107,41059,6,410130
131,4107,41059,6,410131
132,4107,41060,6,410132
133,4107,41060,6,410133
134,4107,41061,6,410134
