Id,num_cuartel,nom_cuartel
4011,1,El Bosque
4012,1,sector 1 A
4013,2,Sector 2 A
4014,3,Sector 3 B
4015,4,Sector 4
4016,5,Cuartel 5
4017,6,Añañuca 3
4018,7,Calixto
4019,8,Sector 1 B
40120,9,Los Hornos
40121,9,Sector 2 B
40122,10,Añañuca 1
40123,10,El Calixto
40124,11,Mapa
40125,11,Añañuca 3
40126,12,Burdeo
40127,13,La Vega
40128,14,Sector 3A
40129,15,La Cancha
40130,16,Calixto A
40131,17,Calixto B
40222,1,La Manga
40223,2,Ladera Grande
40224,3,Trinagulo
40225,3,Cuartel 3
40226,4,Estanque
40227,5,Bodega
40228,6,Ladera Chica
40229,7,Ex Sultanita Vieja
40230,72,Tina
40231,73,Tina 1
40232,74,Tina 2
40233,75,La Tina
40234,76,Tina Isla
40335,37,Rinconada 1
40336,38,Rinconada 2
40337,39,Viña San Jose
40338,40,San Jose 1
40339,41,San Jose 2
40340,42,San Jose 3
40341,43,Lourdes 1
40342,44,Lourdes 2
40343,45,Lourdes 3
40344,48,San Steve
40345,50,Maria 1
40346,51,Maria 2
40347,57,Viña del Cerro
40348,58,Las Pircas
40349,59,Grande 1
40350,60,Grande 2
40351,64,Provenir 1
40352,65,Provenir 2
40353,66,Provenir 3
40354,67,Provenir 4
40355,69,Italia
40356,72,Allison 1
40357,73,Allison 2
40458,1,chile 1
40459,2,chile 2
40460,3,chile 3
40461,4,Fernando 1
40462,5,Fernando 2
40463,6,America 1
40464,7,America 2
40465,8,America 3
40466,9,America 4
40467,10,Los Loros
40468,11,El Redondo
40469,12,Palestina 1
40470,13,Palestina 2
40471,14,Palestina 3
40472,15,Palestina 4
40473,16,Palestina 5
40474,17,Maquina 1
40475,18,Maquina 2
40476,19,Ondonada 1
40477,20,Ondonada 2
40478,22,San Ralph
40479,23,Blanco 1
40480,24,Blanco 2
40481,25,San Matias 
40482,26,San Jose Domingo
40483,27,San Nicolas
40484,28,San Hernan
40485,29,Santa Ana
40486,30,San Agustin
40487,31,San Guillermo 1
40488,32,San Guillermo 2
40489,33,San Guillermo 3
40490,34,El Rojo
40491,35,Black 1
40492,36,Black 2
40493,46,Lourdes 1
40494,47,Lourdes 2
40495,49,Santa Florencia
40496,54,San Benjamin
40497,55,San Joaquín 
40498,56,San Sebastián 
40499,61,Grande 1
404100,62,Grande 2
404101,63,Grande 3
404102,68,Porvenir
405103,1,1
405104,2,2
408105,1,1
408106,2,2
408107,3,3
408108,4,4
408109,5,5
408110,6,6
408111,7,7
408112,8,8
408113,9,9
408114,10,10
408115,11,11
408116,12,12
408117,13,13
408118,14,14
408119,15,15
408120,16,16
408121,17,17
408122,18,18
408123,19,19
408124,20,20
410125,1,1
410126,2,2
410127,3,3
410128,4,4
410129,5,5
410130,6,6
410131,7,7
410132,8,8
410133,9,9
410134,10,10
